********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[21:50:09, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/VoxeliensTerrain.vdb'
[21:50:47, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/VoxeliensTerrain.vdb'
[21:50:51, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/39DA5B68.vdb'
[21:51:07, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[21:51:40, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/VoxeliensTerrain.vdb'
[21:51:59, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/22A04212.vdb'
[21:52:01, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[21:52:06, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/5F015FEF.vdb'
[21:52:13, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[21:52:13, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/SmallSphere.vdb'
[21:52:23, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/ImportedFromHeightmap.vdb'
[21:52:39, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/ImportedFromHeightmap.vdb'
[21:53:30, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[21:53:30, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/ImportedFromHeightmap.vdb'
[21:53:46, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4D4DC7FB.vdb'
[21:53:58, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[21:54:03, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/VoxeliensTerrain.vdb'
[21:54:25, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/ImportedCity.vdb'
[21:55:14, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/VoxeliensColoredCubes.vdb'
[21:55:32, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/VoxeliensColoredCubes.vdb'
[22:15:22, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/VoxeliensColoredCubes.vdb'
[22:15:48, Info   ]: Creating voxel database from 'C:/Users/Michael Voigt/Documents/SWTOR/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/VoxeliensColoredCubes.vdb'
[22:22:35, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/2F966D73.vdb'
[22:22:39, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[22:22:54, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/3D9EE973.vdb'
[22:22:58, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[22:23:55, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/41011B30.vdb'
[22:23:58, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[22:24:37, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/3212CCE0.vdb'
[22:24:40, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[22:24:43, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4B550FC1.vdb'
[22:24:46, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[22:27:44, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/53BC2D64.vdb'
[22:27:46, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[22:27:49, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/053A98C2.vdb'
[22:27:52, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[22:40:42, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4004D489.vdb'
[22:40:46, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[22:42:22, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/48A47EE8.vdb'
